detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
582	1714.149402718150	1875.542298424840	1927.081486735840	1930.999749578210	1804.963647106350	1651.468672152160	1531.945229451620	1473.560848681370	1409.795394834640	1265.939485884650	1251.228444404380	1178.954457816850	956.631281449768	930.424937680697	895.480708340975
583	1714.150498568690	1875.546347515900	1927.082309490080	1930.997891517280	1804.962062431940	1651.468224782710	1531.945103055790	1473.560013283480	1409.794347306370	1265.939497262350	1251.227899779510	1178.953582467250	956.632241691567	930.424611288859	895.480702491852
584	1714.151594229030	1875.550420421620	1927.083132783290	1930.996033283760	1804.960477725090	1651.467777361440	1531.944976594230	1473.559177858720	1409.793299755990	1265.939508691930	1251.227355229390	1178.952707126330	956.633201854704	930.424284945258	895.480696669769
585	1714.152689699220	1875.554478279880	1927.083956615490	1930.994174877620	1804.958892985830	1651.467329888350	1531.944850066930	1473.558342407080	1409.792252183490	1265.939520173380	1251.226810754030	1178.951831794080	956.634161939118	930.423958649898	895.480690874703
586	1714.153784979240	1875.558528862760	1927.084772596050	1930.992316298840	1804.957308214140	1651.466882363440	1531.944723473880	1473.557506928580	1409.791204588880	1265.939531706680	1251.226266353450	1178.950956470500	956.635121944739	930.423632402779	895.480685106627
587	1714.154880069130	1875.562579942670	1927.085589133490	1930.990457547400	1804.955723410030	1651.466434786700	1531.944596815080	1473.556671423230	1409.790156972150	1265.939543291820	1251.225722027660	1178.950081155590	956.636081871497	930.423306203899	895.480679365517
588	1714.155974968900	1875.566631519580	1927.086414606620	1930.988598623270	1804.954138573520	1651.465987158140	1531.944470090520	1473.555835891030	1409.789109333300	1265.939554928770	1251.225177776640	1178.949205849360	956.637041719326	930.422980053264	895.480673651345
589	1714.157069678560	1875.570683593450	1927.087240618900	1930.986739526430	1804.952553704600	1651.465539477770	1531.944343300190	1473.554996693370	1409.788061672350	1265.939566617520	1251.224633600420	1178.948330551800	956.638001488157	930.422653950869	895.480667964088
590	1714.158164198130	1875.574736164280	1927.088067170340	1930.984880256860	1804.950968803300	1651.465091745570	1531.944216444090	1473.554161107270	1409.787013989280	1265.939578358040	1251.224089499010	1178.947455262910	956.638961177921	930.422327896720	895.480662303718
591	1714.159258527630	1875.578789232010	1927.088894260970	1930.983020814520	1804.949383869600	1651.464643961540	1531.944089522210	1473.553325494330	1409.785966284100	1265.939590150330	1251.223545472400	1178.946579982700	956.639920788551	930.422001890817	895.480656670211
592	1714.160352667080	1875.582842796630	1927.089721890840	1930.981161199410	1804.947798903530	1651.464196125700	1531.943962534540	1473.552489854590	1409.784918556810	1265.939601994350	1251.223001520620	1178.945704711160	956.640880319983	930.421675933160	895.480651063543
593	1714.161446616480	1875.586896858090	1927.090550059970	1930.979301411480	1804.946213905080	1651.463748238040	1531.943835481080	1473.551654188050	1409.783870807400	1265.939613890100	1251.222457643660	1178.944829448300	956.641839772142	930.421350023751	895.480645483686
594	1714.162540375850	1875.590951416370	1927.091378768410	1930.977441450720	1804.944628874270	1651.463300298560	1531.943708361830	1473.550818494710	1409.782823035890	1265.939625837540	1251.221913841530	1178.943954194110	956.642799144964	930.421024162590	895.480639930616
595	1714.163633945210	1875.595006471430	1927.092208016180	1930.975581317110	1804.943043811090	1651.462852307260	1531.943581176770	1473.549982774590	1409.781775242270	1265.939637836680	1251.221370114250	1178.943078948600	956.643758438380	930.420698349679	895.480634404307
596	1714.164727324590	1875.599062023260	1927.093037803320	1930.973721010610	1804.941458715570	1651.462404264140	1531.943453925900	1473.549147027680	1409.780727426540	1265.939649887470	1251.220826461810	1178.942203711770	956.644717652322	930.420372585019	895.480628904734
597	1714.165820513980	1875.603118071830	1927.093868129860	1930.971860531210	1804.939873587700	1651.461956169200	1531.943326609200	1473.548311254020	1409.779679588710	1265.939661989920	1251.220282884230	1178.941328483610	956.645676786722	930.420046868611	895.480623431869
598	1714.166913513410	1875.607174617070	1927.094698995840	1930.969999878880	1804.938288427480	1651.461508022440	1531.943199226690	1473.547475453590	1409.778631728760	1265.939674144000	1251.219739381510	1178.940449083360	956.646635841515	930.419721200455	895.480617985690
599	1714.168006322900	1875.611231659000	1927.095530401290	1930.968139053590	1804.936703234930	1651.461059823870	1531.943071778340	1473.546639626420	1409.777583846710	1265.939686349690	1251.219195953670	1178.939572480630	956.647594816626	930.419395580553	895.480612566170
600	1714.169098942450	1875.615289197560	1927.096362346250	1930.966278055330	1804.935118010060	1651.460611573470	1531.942944264160	1473.545803772520	1409.776535942560	1265.939698606970	1251.218652600710	1178.938697280390	956.648553711994	930.419070008906	895.480607173282
601	1714.170191372090	1875.619347232720	1927.097194830750	1930.964416884070	1804.933532752870	1651.460163271260	1531.942816684130	1473.544967891880	1409.775488016300	1265.939710915820	1251.218109322630	1178.937822088830	956.649512527551	930.418744485515	895.480601807002
602	1714.171283611840	1875.623405764460	1927.098027854830	1930.962555539780	1804.931947463370	1651.459714917230	1531.942689038260	1473.544131984520	1409.774440067930	1265.939723276230	1251.217566119450	1178.936946905930	956.650471263224	930.418419010383	895.480596467303
603	1714.172375661700	1875.627464792740	1927.098861418520	1930.960694022440	1804.930362141560	1651.459266511390	1531.942561326520	1473.543296050450	1409.773392097470	1265.939735688180	1251.217022991170	1178.936071731710	956.651429918948	930.418093583507	895.480589457286
604	1714.173467521690	1875.631524317540	1927.099695521840	1930.958832332020	1804.928776787450	1651.458818053730	1531.942433548930	1473.542460089680	1409.772344104900	1265.939748151640	1251.216479937790	1178.935196566160	956.652388494656	930.417768204891	895.480579079793
605	1714.174559191840	1875.635584338820	1927.100530164850	1930.956970468510	1804.927191401050	1651.458369544250	1531.942305705470	1473.541624102210	1409.771296090230	1265.939760666610	1251.215936959340	1178.934321409280	956.653346990278	930.417442874536	895.480573819278
606	1714.175650672160	1875.639644856550	1927.101365347560	1930.955108431870	1804.925605982370	1651.457920982970	1531.942177796130	1473.540788088070	1409.770248053450	1265.939773233050	1251.215394055820	1178.933446261080	956.654305405747	930.417117592443	895.480568585237
607	1714.176741962660	1875.643705870710	1927.102201070010	1930.953246222090	1804.924020531400	1651.457472369870	1531.942049820910	1473.539952047250	1409.769199994590	1265.939785850960	1251.214851227220	1178.932571121550	956.655263740995	930.416792358613	895.480563377648
608	1714.177833063360	1875.647767381260	1927.103037332250	1930.951383839130	1804.922435048170	1651.457023704950	1531.941921779800	1473.539115979760	1409.768151913620	1265.939798520310	1251.214308473570	1178.931695990700	956.656221995956	930.416467173047	895.480558196481
609	1714.178923974280	1875.651829388160	1927.103874134300	1930.949521282980	1804.920849532670	1651.456574988220	1531.941793672790	1473.538279885620	1409.767103810540	1265.939811241100	1251.213765794860	1178.930820868510	956.657180170556	930.416142035745	895.480553041713
610	1714.180014695420	1875.655891891400	1927.104711476200	1930.947658553610	1804.919263984910	1651.456126219680	1531.941665499890	1473.537443764840	1409.766055685370	1265.939824013280	1251.213223191110	1178.929945755010	956.658138264736	930.415816946710	895.480547913317
611	1714.181105226820	1875.659954890930	1927.105549357980	1930.945795651000	1804.917678404900	1651.455677399320	1531.941537261070	1473.536607617420	1409.765004650610	1265.939836836850	1251.212680662330	1178.929070650180	956.659096278425	930.415491905943	895.480542811267
612	1714.182195568480	1875.664018386730	1927.106387779670	1930.943932575110	1804.916092792650	1651.455228527150	1531.941408956350	1473.535771443360	1409.763956477660	1265.939849711790	1251.212138208510	1178.928195554030	956.660054211551	930.415166913444	895.480537735538
613	1714.183285720430	1875.668082378770	1927.107226741300	1930.942069325930	1804.914507148150	1651.454779603180	1531.941280585700	1473.534935242690	1409.762908282600	1265.939862638090	1251.211595829670	1178.927320466550	956.661012064049	930.414841969216	895.480532686103
614	1714.184375682660	1875.672146867010	1927.108066242920	1930.940205903440	1804.912921471430	1651.454330627390	1531.941152149130	1473.534099015410	1409.761860065450	1265.939875615720	1251.211053525830	1178.926445387750	956.661969835854	930.414517073258	895.480527662938
615	1714.185465455220	1875.676211851430	1927.108906284550	1930.938342307610	1804.911335762480	1651.453881599800	1531.941023646620	1473.533262761530	1409.760811826180	1265.939888644660	1251.210511296970	1178.925570317630	956.662927526891	930.414192225573	895.480522666017
616	1714.186555038100	1875.680277331990	1927.109746866230	1930.936478538400	1804.909750021320	1651.453432520400	1531.940895078170	1473.532426481060	1409.759763564820	1265.939901724900	1251.209969143120	1178.924695256180	956.663885137101	930.413867426161	895.480517695313
617	1714.187644431340	1875.684343308660	1927.110587987990	1930.934593730180	1804.908164247940	1651.452983389180	1531.940766443780	1473.531590174010	1409.758715281350	1265.939914856420	1251.209427064280	1178.923820203410	956.664842666410	930.413542675022	895.480512750802
618	1714.188733634940	1875.688409781420	1927.111429649870	1930.932729583170	1804.906578442370	1651.452533651270	1531.940637743430	1473.530753840390	1409.757666975780	1265.939928039190	1251.208885060460	1178.922945159320	956.665800114754	930.413217972161	895.480507832457
619	1714.189822648910	1875.692476750210	1927.112271851900	1930.930865262690	1804.904992604590	1651.452082754590	1531.940508977130	1473.529917480200	1409.756618648120	1265.939941273210	1251.208343131660	1178.922070123910	956.666757482061	930.412893317576	895.480502940250
620	1714.190911473280	1875.696544215050	1927.113114594110	1930.929000768730	1804.903406734620	1651.451633472460	1531.940380144860	1473.529081093460	1409.755570298350	1265.939954558450	1251.207801277880	1178.921195097180	956.667714768269	930.412568711270	895.480498074159
621	1714.192000108070	1875.700612175860	1927.113957876530	1930.927136101250	1804.901820832480	1651.451184138530	1531.940251246620	1473.528244680170	1409.754521926490	1265.939967894890	1251.207259499160	1178.920320079130	956.668671973305	930.412244153244	895.480493234155
622	1714.193088553280	1875.704680632620	1927.114801699210	1930.925271260250	1804.900234898150	1651.450734752780	1531.940122282410	1473.527408240350	1409.753473532520	1265.939981282520	1251.206717795490	1178.919445069760	956.669629097103	930.411919643498	895.480488420216
623	1714.194176808940	1875.708749585320	1927.115646062170	1930.923406245680	1804.898648931650	1651.450285315240	1531.939993252210	1473.526571774010	1409.752425116470	1265.939994721310	1251.206176166860	1178.918570069070	956.670586369962	930.411595182031	895.480483632313
624	1714.195264875070	1875.712819033910	1927.116490965440	1930.921541057540	1804.897059908030	1651.449835825880	1531.939864156020	1473.525735281150	1409.751376678310	1265.940008211250	1251.205627331640	1178.917695077060	956.671543409013	930.411270768852	895.480478870421
625	1714.196352751670	1875.716888978360	1927.117336409070	1930.919675695770	1804.895470856960	1651.449386284720	1531.939734993830	1473.524898761770	1409.750328218050	1265.940021752320	1251.205085856440	1178.916820093740	956.672500289993	930.410946403955	895.480474134513
626	1714.197440438770	1875.720959418640	1927.118182393080	1930.917810160390	1804.893884800250	1651.448936691750	1531.939605765640	1473.524062215900	1409.749279735710	1265.940035344500	1251.204544456300	1178.915945119090	956.673457089466	930.410622087345	895.480469424563
627	1714.198527936380	1875.725030354730	1927.119028917500	1930.915944451340	1804.892298711400	1651.448487047000	1531.939476471440	1473.523225643550	1409.748231231260	1265.940048987780	1251.204003131250	1178.915070153130	956.674413807358	930.410297819021	895.480464740547
628	1714.199615244520	1875.729101786580	1927.119875982380	1930.914078568620	1804.890712590400	1651.448037350420	1531.939351778800	1473.522389044710	1409.747182704730	1265.940062682120	1251.203461881290	1178.914195195840	956.675370443610	930.409973598986	895.480460082439
629	1714.200702363210	1875.733173714170	1927.120723587730	1930.912212512190	1804.889126437260	1651.447587602050	1531.939227007840	1473.521552419400	1409.746134156100	1265.940076427520	1251.202920706410	1178.913320247240	956.676326998149	930.409649427241	895.480455450212
630	1714.201789292460	1875.737246137470	1927.121571733610	1930.910346282030	1804.887540251990	1651.447137801880	1531.939097499170	1473.520715767630	1409.745085585370	1265.940090223960	1251.202379606640	1178.912445307330	956.677283470909	930.409325303786	895.480450843839
631	1714.202876032290	1875.741319056440	1927.122420420030	1930.908479878110	1804.885954034590	1651.446687949920	1531.938967924480	1473.519879089410	1409.744036992560	1265.940104071420	1251.201838581970	1178.911570376090	956.678239861821	930.409001228623	895.480446263296
632	1714.203961750170	1875.745392471050	1927.123269647030	1930.906613300420	1804.884367785080	1651.446238046150	1531.938838283760	1473.519042384750	1409.742988377650	1265.940117969880	1251.201297632430	1178.910695453560	956.679196170820	930.408677585003	895.480441708556
633	1714.205047835440	1875.749466381280	1927.124119414660	1930.904746548930	1804.882781503460	1651.445788090580	1531.938708577000	1473.518205653650	1409.741939740650	1265.940129199060	1251.200756758000	1178.909820539690	956.680152397835	930.408353608564	895.480437179593
634	1714.206134009090	1875.753540787090	1927.124969722920	1930.902879623610	1804.881195189730	1651.445338083220	1531.938578804200	1473.517368896130	1409.740891081560	1265.940142294550	1251.200215958710	1178.908945634510	956.681108542801	930.408029680416	895.480432676380
635	1714.207219993390	1875.757615688450	1927.125820571880	1930.901012524440	1804.879608843910	1651.444888024070	1531.938448965350	1473.516532112190	1409.739842400390	1265.940156347980	1251.199675234550	1178.908070738020	956.682064605651	930.407705800561	895.480428198893
