detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
136	412.1816102	442.0513144	489.3771719	509.3156291	559.1922790	619.1017203	664.0748848	680.3238950	707.8325139	752.8750267	761.0115099	777.9138472	864.3809682	884.4492306	899.51
137	412.1760603	442.0457645	489.3716220	509.3100792	559.1867291	619.0961704	664.0693349	680.3183451	707.8269640	752.8694768	761.0059601	777.9082973	864.3754183	884.4436807	899.50
138	412.1705104	442.0402146	489.3660721	509.3045293	559.1811792	619.0906205	664.0637850	680.3127953	707.8214142	752.8639269	761.0004102	777.9027474	864.3698684	884.4381308	899.49
139	412.1649606	442.0346647	489.3605222	509.2989795	559.1756293	619.0850707	664.0582352	680.3072454	707.8158643	752.8583770	760.9948603	777.8971975	864.3643186	884.4325809	899.49
140	412.1594107	442.0291149	489.3549723	509.2934296	559.1700795	619.0795208	664.0526853	680.3016955	707.8103144	752.8528271	760.9893104	777.8916477	864.3587687	884.4270310	899.48
141	412.1538608	442.0235650	489.3494225	509.2878797	559.1645296	619.0739709	664.0471354	680.2961456	707.8047645	752.8472773	760.9837605	777.8860978	864.3532188	884.4214812	899.48
142	412.1483109	442.0180151	489.3438726	509.2823298	559.1589797	619.0684210	664.0415855	680.2905957	707.7992146	752.8417274	760.9782107	777.8805479	864.3476689	884.4159313	899.47
143	412.1427610	442.0124652	489.3383227	509.2767799	559.1534298	619.0628711	664.0360356	680.2850459	707.7936648	752.8361775	760.9726608	777.8749980	864.3421190	884.4103814	899.47
144	412.1372112	442.0069153	489.3327728	509.2712301	559.1478799	619.0573213	664.0304858	680.2794960	707.7881149	752.8306276	760.9671109	777.8694481	864.3365692	884.4048315	899.46
145	412.1316613	442.0013655	489.3272229	509.2656802	559.1423301	619.0517714	664.0249359	680.2739461	707.7825650	752.8250777	760.9615610	777.8638983	864.3310193	884.3992816	899.46
146	412.1261114	441.9958156	489.3216731	509.2601303	559.1367802	619.0462215	664.0193860	680.2683962	707.7770151	752.8195279	760.9560111	777.8583484	864.3254694	884.3937318	899.45
147	412.1205615	441.9902657	489.3161232	509.2545804	559.1312303	619.0406716	664.0138361	680.2628463	707.7714652	752.8139780	760.9504613	777.8527985	864.3199195	884.3881819	899.44
148	412.1150116	441.9847158	489.3105733	509.2490305	559.1256804	619.0351217	664.0082862	680.2572965	707.7659154	752.8084281	760.9449114	777.8472486	864.3143696	884.3826320	899.44
149	412.1094618	441.9791659	489.3050234	509.2434807	559.1201305	619.0295719	664.0027364	680.2517466	707.7603655	752.8028782	760.9393615	777.8416987	864.3088198	884.3770821	899.43
150	412.1039119	441.9736161	489.2994735	509.2379308	559.1145807	619.0240220	663.9971865	680.2461967	707.7548156	752.7973283	760.9338116	777.8361489	864.3032699	884.3715322	899.43
151	412.0983620	441.9680662	489.2939237	509.2323809	559.1090308	619.0184721	663.9916366	680.2406468	707.7492657	752.7917785	760.9282617	777.8305990	864.2977200	884.3659824	899.42
152	412.0928121	441.9625163	489.2883738	509.2268310	559.1034809	619.0129222	663.9860867	680.2350969	707.7437158	752.7862286	760.9227119	777.8250491	864.2921701	884.3604325	899.42
153	412.0872622	441.9569664	489.2828239	509.2212811	559.0979310	619.0073723	663.9805368	680.2295471	707.7381660	752.7806787	760.9171620	777.8194992	864.2866202	884.3548826	899.41
154	412.0817124	441.9514165	489.2772740	509.2157313	559.0923811	619.0018225	663.9749870	680.2239972	707.7326161	752.7751288	760.9116121	777.8139493	864.2810704	884.3493327	899.41
155	412.0761625	441.9458667	489.2717241	509.2101814	559.0868313	618.9962726	663.9694371	680.2184473	707.7270662	752.7695789	760.9060622	777.8083995	864.2755205	884.3437828	899.40
156	412.0706126	441.9403168	489.2661743	509.2046315	559.0812814	618.9907227	663.9638872	680.2128974	707.7215163	752.7640291	760.9005123	777.8028496	864.2699706	884.3382330	899.39
157	412.0650627	441.9347669	489.2606244	509.1990816	559.0757315	618.9851728	663.9583373	680.2073475	707.7159664	752.7584792	760.8949625	777.7972997	864.2644207	884.3326831	899.39
158	412.0595128	441.9292170	489.2550745	509.1935317	559.0701816	618.9796229	663.9527874	680.2017977	707.7104166	752.7529293	760.8894126	777.7917498	864.2588708	884.3271332	899.38
159	412.0539630	441.9236671	489.2495246	509.1879819	559.0646317	618.9740731	663.9472376	680.1962478	707.7048667	752.7473794	760.8838627	777.7861999	864.2533210	884.3215833	899.38
160	412.0484131	441.9181173	489.2439747	509.1824320	559.0590819	618.9685232	663.9416877	680.1906979	707.6993168	752.7418295	760.8783128	777.7806501	864.2477711	884.3160334	899.37
161	412.0428632	441.9125674	489.2384249	509.1768821	559.0535320	618.9629733	663.9361378	680.1851480	707.6937669	752.7362797	760.8727629	777.7751002	864.2422212	884.3104836	899.37
162	412.0373133	441.9070175	489.2328750	509.1713322	559.0479821	618.9574234	663.9305879	680.1795981	707.6882170	752.7307298	760.8672131	777.7695503	864.2366713	884.3049337	899.36
163	412.0317634	441.9014676	489.2273251	509.1657823	559.0424322	618.9518735	663.9250380	680.1740483	707.6826672	752.7251799	760.8616632	777.7640004	864.2311214	884.2993838	899.36
164	412.0262136	441.8959177	489.2217752	509.1602325	559.0368823	618.9463237	663.9194882	680.1684984	707.6771173	752.7196300	760.8561133	777.7584505	864.2255716	884.2938339	899.35
165	412.0206637	441.8903679	489.2162253	509.1546826	559.0313325	618.9407738	663.9139383	680.1629485	707.6715674	752.7140801	760.8505634	777.7529007	864.2200217	884.2882840	899.34
166	412.0151138	441.8848180	489.2106755	509.1491327	559.0257826	618.9352239	663.9083884	680.1573986	707.6660175	752.7085303	760.8450135	777.7473508	864.2144718	884.2827342	899.34
167	412.0095639	441.8792681	489.2051256	509.1435828	559.0202327	618.9296740	663.9028385	680.1518487	707.6604676	752.7029804	760.8394637	777.7418009	864.2089219	884.2771843	899.33
168	412.0040140	441.8737182	489.1995757	509.1380329	559.0146828	618.9241241	663.8972886	680.1462989	707.6549178	752.6974305	760.8339138	777.7362510	864.2033720	884.2716344	899.33
169	411.9984642	441.8681683	489.1940258	509.1324831	559.0091329	618.9185743	663.8917388	680.1407490	707.6493679	752.6918806	760.8283639	777.7307011	864.1978222	884.2660845	899.32
170	411.9929143	441.8626185	489.1884759	509.1269332	559.0035831	618.9130244	663.8861889	680.1351991	707.6438180	752.6863307	760.8228140	777.7251513	864.1922723	884.2605346	899.32
171	411.9873644	441.8570686	489.1829261	509.1213833	558.9980332	618.9074745	663.8806390	680.1296492	707.6382681	752.6807809	760.8172641	777.7196014	864.1867224	884.2549848	899.31
172	411.9818145	441.8515187	489.1773762	509.1158334	558.9924833	618.9019246	663.8750891	680.1240993	707.6327182	752.6752310	760.8117143	777.7140515	864.1811725	884.2494349	899.31
173	411.9762646	441.8459688	489.1718263	509.1102835	558.9869334	618.8963747	663.8695392	680.1185495	707.6271684	752.6696811	760.8061644	777.7085016	864.1756226	884.2438850	899.30
174	411.9707148	441.8404189	489.1662764	509.1047337	558.9813835	618.8908249	663.8639894	680.1129996	707.6216185	752.6641312	760.8006145	777.7029517	864.1700728	884.2383351	899.29
175	411.9651649	441.8348691	489.1607265	509.0991838	558.9758337	618.8852750	663.8584395	680.1074497	707.6160686	752.6585813	760.7950646	777.6974019	864.1645229	884.2327852	899.29
176	411.9596150	441.8293192	489.1551767	509.0936339	558.9702838	618.8797251	663.8528896	680.1018998	707.6105187	752.6530315	760.7895147	777.6918520	864.1589730	884.2272354	899.28
177	411.9540651	441.8237693	489.1496268	509.0880840	558.9647339	618.8741752	663.8473397	680.0963499	707.6049688	752.6474816	760.7839649	777.6863021	864.1534231	884.2216855	899.28
178	411.9485152	441.8182194	489.1440769	509.0825341	558.9591840	618.8686253	663.8417898	680.0908001	707.5994190	752.6419317	760.7784150	777.6807522	864.1478732	884.2161356	899.27
179	411.9429654	441.8126695	489.1385270	509.0769843	558.9536341	618.8630755	663.8362400	680.0852502	707.5938691	752.6363818	760.7728651	777.6752023	864.1423234	884.2105857	899.27
180	411.9374155	441.8071197	489.1329771	509.0714344	558.9480843	618.8575256	663.8306901	680.0797003	707.5883192	752.6308319	760.7673152	777.6696525	864.1367735	884.2050358	899.26
181	411.9318656	441.8015698	489.1274273	509.0658845	558.9425344	618.8519757	663.8251402	680.0741504	707.5827693	752.6252821	760.7617653	777.6641026	864.1312236	884.1994860	899.26
182	411.9263157	441.7960199	489.1218774	509.0603346	558.9369845	618.8464258	663.8195903	680.0686005	707.5772194	752.6197322	760.7562155	777.6585527	864.1256737	884.1939361	899.25
